"","age","sex","educ2","outcome","educ"
"222",43,1,5,"E","2"
"223",63,2,5,"C","2"
"224",42,2,8,"A","3"
"225",74,2,3,"B","1"
"226",43,1,6,"E","2"
"227",51,2,3,"A","1"
"228",99,2,8,"B","3"
"229",45,2,6,"E","2"
"230",55,2,8,"B","3"
"231",56,1,6,"B","2"
"232",61,2,6,"B","2"
"233",62,2,8,"C","3"
"234",58,2,3,"E","1"
"235",61,1,6,"E","2"
"236",62,1,6,"A","2"
"237",73,2,5,"A","2"
"238",36,2,5,"A","2"
"239",64,2,3,"D","1"
"240",38,1,8,"B","3"
"241",34,2,8,"A","3"
"242",47,1,6,"E","2"
"243",51,1,6,"A","2"
"244",61,2,3,"B","1"
"245",78,2,3,"A","1"
"246",68,2,3,"A","1"
"247",50,2,5,"A","2"
"248",99,1,8,"C","3"
"249",59,1,3,"D","1"
"250",24,2,2,"A","1"
"251",62,2,5,"E","2"
"252",57,2,6,"D","2"
"253",60,2,5,"C","2"
"254",75,2,3,"A","1"
"255",73,1,6,"A","2"
"256",34,1,6,"E","2"
"257",60,1,6,"C","2"
"258",36,2,3,"C","1"
"259",65,1,5,"E","2"
"260",39,2,8,"A","3"
"261",79,2,3,"B","1"
"262",37,1,3,"A","1"
"263",60,1,8,"A","3"
"264",61,1,5,"A","2"
"265",81,1,6,"D","2"
"266",50,2,4,"C","2"
"267",75,1,8,"B","3"
"268",65,1,5,"E","2"
"269",70,2,3,"B","1"
"270",53,2,8,"E","3"
"271",38,2,8,"A","3"
"272",49,2,5,"C","2"
"273",66,1,3,"A","1"
"274",65,2,4,"B","2"
"275",51,2,6,"E","2"
"276",86,2,3,"A","1"
"277",29,2,6,"B","2"
"278",73,2,4,"E","2"
"279",74,1,3,"A","1"
"280",99,2,5,"C","2"
"281",63,2,5,"E","2"
"282",66,1,8,"B","3"
"283",62,2,6,"B","2"
"284",60,1,7,"A","3"
"285",62,2,3,"B","1"
"286",67,2,5,"E","2"
"287",64,2,8,"E","3"
"288",75,2,3,"E","1"
"289",65,2,6,"E","2"
"290",54,2,3,"A","1"
"291",68,2,3,"B","1"
"292",75,1,3,"A","1"
"293",34,2,4,"D","2"
"294",71,2,8,"A","3"
"295",28,2,6,"E","2"
"296",68,2,8,"B","3"
"297",70,1,5,"C","2"
"298",39,2,6,"E","2"
"299",66,1,4,"E","2"
"300",62,2,7,"B","3"
"301",30,2,1,"A","1"
"302",50,2,4,"B","2"
"303",79,1,3,"B","1"
"304",82,2,5,"A","2"
"305",43,2,6,"E","2"
"306",18,2,2,"A","1"
"307",60,2,3,"A","1"
"308",60,2,3,"B","1"
"309",62,2,5,"A","2"
"310",79,1,6,"A","2"
"311",48,2,3,"A","1"
"312",65,2,8,"E","3"
"313",48,2,8,"E","3"
"314",43,2,2,"A","1"
"315",66,1,3,"B","1"
"316",52,1,6,"A","2"
"317",59,1,3,"A","1"
"318",99,2,2,"A","1"
"319",51,2,8,"E","3"
"320",58,2,6,"B","2"
"321",57,2,5,"E","2"
"322",60,1,6,"D","2"
"323",60,1,4,"E","2"
"324",63,2,4,"A","2"
"325",65,1,6,"E","2"
"326",23,2,3,"E","1"
"327",54,2,5,"E","2"
"328",64,2,8,"C","3"
"329",79,2,8,"A","3"
"330",68,2,5,"C","2"
"331",70,2,8,"C","3"
"332",62,1,6,"A","2"
"333",49,1,3,"E","1"
"334",18,1,3,"E","1"
"335",42,1,6,"A","2"
"336",82,2,3,"B","1"
"337",62,1,5,"C","2"
"338",54,1,6,"C","2"
"339",53,1,3,"B","1"
"340",71,2,7,"C","3"
"341",65,2,6,"B","2"
"342",60,2,5,"E","2"
"343",49,2,4,"A","2"
"344",55,2,7,"E","3"
"345",68,2,3,"B","1"
"346",38,2,3,"E","1"
"347",18,2,3,"A","1"
"348",99,2,8,"E","3"
"349",37,2,8,"A","3"
"350",70,1,6,"A","2"
"351",64,1,1,"B","1"
"352",60,2,8,"B","3"
"353",59,1,8,"C","3"
"354",24,1,3,"A","1"
"355",28,1,4,"E","2"
"356",36,1,8,"E","3"
"357",18,2,3,"E","1"
"358",65,2,8,"E","3"
"359",23,2,4,"A","2"
"360",42,2,4,"A","2"
"361",46,1,5,"E","2"
"362",26,1,3,"B","1"
"363",77,1,6,"C","2"
"364",21,2,4,"E","2"
"365",53,2,3,"D","1"
"366",25,1,3,"A","1"
"367",36,2,8,"A","3"
"368",22,2,6,"E","2"
"369",51,1,4,"D","2"
"370",46,1,8,"B","3"
"371",32,2,6,"E","2"
"372",34,2,6,"E","2"
"373",74,1,2,"B","1"
"374",27,2,4,"E","2"
"375",26,1,6,"E","2"
"376",33,1,8,"E","3"
"377",55,1,3,"A","1"
"378",31,2,8,"E","3"
"379",20,2,3,"E","1"
"380",19,1,2,"E","1"
"381",30,1,6,"C","2"
"382",57,1,6,"C","2"
