psraid,sample,int_date,fips,state,cregion,density,usr,vote01,pial1a,pial1b,pial1c,pial1d,pial1e,pial2a,pial2b,pial2c,pial2d,pial2e,pial3,ql1,ql1a,qc1,hh1,employ,par,sex,age,educ2,hisp,race,inc,reg,party,partyln,ideo,zipcode,iphoneuse,hphoneuse,weight,standwt
100362,1,110112,29189,29,2,4,S,1,1,2,2,2,2,4,4,4,4,4,2,2,1, ,9,3,2,2,87,3,9,1,99,1,2, , ,63031,1,2,5.45,1.39798546183414
100365,1,110112,38069,38,2,1,R,1,1,1,1,1,1,3,1,1,1,3,1,1, , ,1,1,2,2,31,6,2,1,3,1,2, , ,58368,2,2,1.15,.2949877580017
100367,1,110412,48029,48,3,4,S,3,1,1,2,2,2,2,3,2,2,2,1,1, , ,5,1,2,1,28,4,2,1,8,3,3,1,4,78254,2,2,8.1,2.07773986070763
100369,1,110112,6111,6,4,3,U,3,2,2,2,2,1,1,1,4,4,3,2,1, , ,6,3,1,2,24,3,1,6,4,1,2, , ,93033,2,2,5.6,1.43646212592132
100370,1,110112,48315,48,3,1,R,1,1,2,2,2,2,4,4,4,4,4,2,2,2, ,5,3,2,1,18,2,2,1,8,1,1, , ,75657,1,1,9.7,2.48815761097086
100371,1,110412,29037,29,2,2,S,1,1,2,1,2,1,4,4,2,4,2,1,1, , ,2,3,2,2,99,9,2,1,99,1,1, ,2,64012,2,2,3.25,.833661055222196
100381,1,110112,47157,47,3,4,U,1,1,1,1,1,1,1,1,1,1,1,1,2,1, ,3,3,2,2,58,5,2,2,7,1,2, , ,38141,1,2,7.45,1.91100764966319
100384,1,110112,6067,6,4,4,U,1,2,2,2,2,2,4,4,4,4,4,2,1, , ,1,3,2,2,80,4,2,3,7,1,5,2, ,95818,2,2,1.05,.269336648610248
100387,1,110112,6029,6,4,1,U,1,2,2,2,2,2,4,4,4,4,4,2,1, , ,2,3,2,2,84,6,2,1,6,1,1, , ,93311,2,2,1.1,.282162203305974
100388,1,110412,1131,1,3,1,R,3,1,2,2,2,2,1,4,4,4,4,2,2,2, ,2,1,2,1,51,3,2,2,4,1,2, ,8,36751,1,1,5.6,1.43646212592132
100389,1,110112,41051,41,4,4,U,1,1,1,2,2,2,4,4,4,4,4,2,2,2, ,1,3,2,1,65,3,2,1,2,1,2, , ,97217,1,1,2.65,.679754398873482
100394,1,110112,53035,53,4,3,S,1,2,2,2,2,2,2,2,4,4,4,2,2,1, ,1,3,2,2,82,3,2,1,8,1,2, , ,98383,1,2,1.65,.423243304958961
100395,1,110112,6037,6,4,5,U,3,2,2,2,2,2,4,4,4,4,1,2,2,2, ,2,3,1,2,24,4,1,6,4,3,2, , ,91343,1,1,8.35,2.14186763418626
100398,1,110412,53077,53,4,1,U,1,1,1,2,2,2,4,4,4,4,4,2,1, , ,2,1,2,1,59,8,2,1,9,1,2, ,4,98908,2,2,1.9,.487371078437591
100401,1,110112,28037,28,3,1,R,1,2,2,2,2,2,4,4,4,4,4,2,1, , ,2,1,1,2,27,5,2,1,7,1,1, , ,39653,2,2,4.65,1.19277658670253
100402,1,110112,32003,32,4,2,U,3,1,2,2,2,2,4,2,4,4,4,2,2,2, ,2,3,1,2,60,2,2,3,99,1,3,1, ,89129,1,1,9.7,2.48815761097086
100404,1,110112,27109,27,2,2,U,1,2,2,2,2,2,4,4,4,4,4,2,2,2, ,1,3,2,2,84,1,2,1,99,1,3,9, ,55902,1,1,3.1,.795184391135017
